smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
C1CN->[Pb+2]<-N2(C1)CCSCCOCCOCCSCC2,6.0,Pb,20,2,N,1
C1CN->[Pb+2]<-NC1,6.29,Pb,6,2,N,3
C1CN->[Pd+2]<-N1,23.6,Pd,5,2,N,1
C1CN->[Sn+4]<-N1,7.03,Sn,5,2,N,1
C1CN->[Tb+3]<-N1,5.52,Tb,5,2,N,1
C1CN->[Zn+2]<-N1,5.87,Zn,5,2,N,25
C1CN->[Zn+2]<-N2(C1)CCSCCOCCOCCSCC2,5.4,Zn,20,2,N,1
C1CN->[Zn+2]<-N2(C1)CCSCCOCCSCC2,8.95,Zn,17,2,N,1
C1CN->[Zn+2]<-N2(C1)CCSCCSCCSCC2,8.14,Zn,17,2,N,1
C1CN->[Zn+2]<-NC1,9.35,Zn,6,2,N,2
C1CN2(->[Cu+2]<-N1)CCOCC2,6.6,Cu,10,2,N,1
C1CN2(->[Ni+2]<-N1)CCOCC2,3.78,Ni,10,2,N,1
C1CN2->[Ag]<-N(CCO1)CCSCCSCC2,9.0,Ag,16,2,N,1
C1CN2->[Ag]<-N1CC2,3.33,Ag,7,2,N,1
C1CN2->[Ca+2]<-N(CCN1)CCOCC2,2.03,Ca,13,2,N,1
C1CN2->[Cd+2]<-N(C1)CCOCC2,4.06,Cd,11,2,N,1
